Position,Connected On
,07-Oct-20
Software Engineer III,06-Oct-20
Senior Software Engineer,06-Oct-20
Marketing Team Member,06-Oct-20
Head of Emerging Technologies,06-Oct-20
Data Analyst,06-Oct-20
Senior Software Engineer,05-Oct-20
Software Engineer,05-Oct-20
Machine Learning Engineer - Voluntary,05-Oct-20
Analyst,05-Oct-20
Senior Analytics Consultant,04-Oct-20
AI Consultant,04-Oct-20
,04-Oct-20
,04-Oct-20
Member of GDG chennai,03-Oct-20
Senior Associate,03-Oct-20
Senior Analyst,03-Oct-20
,03-Oct-20
Committee Member,02-Oct-20
Content Writer,02-Oct-20
,01-Oct-20
Freelance,01-Oct-20
Committee Member,01-Oct-20
Investor & Board Member,01-Oct-20
Assistant Professor,01-Oct-20
Research Assistant,01-Oct-20
Research Scientist,30-Sep-20
Operations Manager,30-Sep-20
LinkedIn Learning Champion,30-Sep-20
Manager - Human Resources,30-Sep-20
Content Writer,30-Sep-20
Analyst,30-Sep-20
Deep Learning @ Qualcomm AI Research,30-Sep-20
"Sr. PM lead, Windows Server - File Server and Clustering and many internal projects.",29-Sep-20
Principal Data Scientist,29-Sep-20
Technical Recruiter,29-Sep-20
Computer Programming Instructor,29-Sep-20
,29-Sep-20
,29-Sep-20
Technical Analyst,28-Sep-20
Data Scientist,28-Sep-20
System Engineer,28-Sep-20
Account Executive,28-Sep-20
,27-Sep-20
Online Trainee ,26-Sep-20
Researcher,26-Sep-20
Cloud Engineer,26-Sep-20
Software Development Engineer - Intern,26-Sep-20
Intern,26-Sep-20
Software Engineer,25-Sep-20
Senior Software Development Engineer,25-Sep-20
CEO,25-Sep-20
Python & Data Science Corporate Trainer / Consultant,25-Sep-20
AWS Educate Cloud Ambassador,24-Sep-20
Associate Consultant,24-Sep-20
Information Technology Recruitment Consultant,24-Sep-20
Full Professor,24-Sep-20
Data Entry Operator,24-Sep-20
Founder,24-Sep-20
Professor,23-Sep-20
Data Scientist,23-Sep-20
Junior Machine Learning Engineer,23-Sep-20
Research Assistant,23-Sep-20
"Data Science Engineer, Assistant Vice President",23-Sep-20
Policy Escalations Specialist,23-Sep-20
Test Lead,23-Sep-20
Enterpreneur,23-Sep-20
,23-Sep-20
Python Developer,22-Sep-20
,22-Sep-20
Technical Support Executive,22-Sep-20
,22-Sep-20
University Lecturer,21-Sep-20
Data Scientist,21-Sep-20
Service Manager,21-Sep-20
,21-Sep-20
International Business(PLI) Support,21-Sep-20
Senior Software Engineer,20-Sep-20
,20-Sep-20
Research Data Scientist,19-Sep-20
Social Media Manager,19-Sep-20
Vice President,19-Sep-20
Data Scientist,19-Sep-20
Data Scientist,19-Sep-20
,18-Sep-20
Business Partner,18-Sep-20
Questgen.ai- A quest to build the world's most advanced Question generation AI,18-Sep-20
,18-Sep-20
Software Engineer,17-Sep-20
Lead Engineer,17-Sep-20
Summer Intern,17-Sep-20
Software Engineer,17-Sep-20
Software Engineering Intern (Machine Learning),16-Sep-20
"Risk Analytics, AVP",16-Sep-20
Small Business Owner,16-Sep-20
,16-Sep-20
Applied Scientist,16-Sep-20
Data Analyst,16-Sep-20
"Sr, Research Engineer",16-Sep-20
Research Software Engineer,16-Sep-20
Software Engineer,16-Sep-20
Associate Mentor,16-Sep-20
Software QA Engineer,16-Sep-20
Staff @ Google Cloud,16-Sep-20
Associate Business Analyst,15-Sep-20
"Customer Engineer, Google Cloud",15-Sep-20
Product Manager,15-Sep-20
Intern Programmar,15-Sep-20
Chief Operating Officer,15-Sep-20
Senior Technical Recruiter,15-Sep-20
Principal Solution Architect for Startups,15-Sep-20
Architect,14-Sep-20
,14-Sep-20
Software Engineer,14-Sep-20
Assistant Professor of Business Analytics,13-Sep-20
,13-Sep-20
Data Science Intern,13-Sep-20
,13-Sep-20
Senior Artificial Intelligence Designer with Pandorabots.com,13-Sep-20
Core Team Member ,13-Sep-20
Assistant Professor,12-Sep-20
,12-Sep-20
Assistant Professor,12-Sep-20
,12-Sep-20
Founder,12-Sep-20
Senior Business Analyst,12-Sep-20
,12-Sep-20
,12-Sep-20
Mentor and Code Reviewer,12-Sep-20
,12-Sep-20
Senior Data Scientist Lead,12-Sep-20
Senior Analyst,11-Sep-20
Academic Research Projects,11-Sep-20
Junior data scientist,11-Sep-20
Data Scientist,11-Sep-20
"Director, Data Science",11-Sep-20
Business Analyst,10-Sep-20
,10-Sep-20
Sr Software Engineer Testing,10-Sep-20
VP of Engineering,10-Sep-20
Co-Founder,10-Sep-20
,09-Sep-20
Software Developer @ Python Software Foundation,09-Sep-20
Lead Data Engineer APAC,09-Sep-20
Development Intern,09-Sep-20
Engineer Trainee,09-Sep-20
,09-Sep-20
Software Engineer Intern,09-Sep-20
Junior Java Developer,09-Sep-20
Consultant,09-Sep-20
Senior Data Analyst,09-Sep-20
Machine Learning Intern,09-Sep-20
TEAM (Tomlinson Engagement Award for Mentoring) TA,09-Sep-20
College & Industry Programs Coordinator,09-Sep-20
Member Technical,09-Sep-20
Data Scientist (Collections Strategy),08-Sep-20
Technical Lead,08-Sep-20
Content Creator,08-Sep-20
Membership Associate,08-Sep-20
PhD candidate,08-Sep-20
Master Degree Student,07-Sep-20
Assistant Consultant,06-Sep-20
Leading ML and Analytics for Customer Service India,06-Sep-20
Director - Principal Data Scientist,05-Sep-20
Portfolio Manager,05-Sep-20
,05-Sep-20
Chief Executive Officer,05-Sep-20
Chief Advisor- Data Science,05-Sep-20
Software Engineer  2,05-Sep-20
Adjunct Professor,04-Sep-20
VP of Recruitment,04-Sep-20
Software Developer,04-Sep-20
Data Analyst,04-Sep-20
Engineering Student,04-Sep-20
Software Engineer,04-Sep-20
Founder,03-Sep-20
Senior Talent Acquisition Consultant,03-Sep-20
Software Development Engineer,03-Sep-20
AI Intern,03-Sep-20
Machine Learning / Computer Vision,03-Sep-20
Senior Director,03-Sep-20
,03-Sep-20
"Associate - Campus Recruiting, Human Capital Management",03-Sep-20
Scientist/Engineer - 'SC',02-Sep-20
,02-Sep-20
Support engineer ll,01-Sep-20
,01-Sep-20
,01-Sep-20
Artificial Intelligence Nanodegree Mentor,01-Sep-20
Senior Enterprise Solutions Engineer,01-Sep-20
M&A Analyst,31-Aug-20
Chief Technology Architect,31-Aug-20
Graduate Engineering Trainee,31-Aug-20
Lead Architect,31-Aug-20
Software Engineer,31-Aug-20
Technology Consultant - Storage| Virtualization | Networking | Cloud | DevOps,31-Aug-20
Campus Ambassador,30-Aug-20
PR and content writer,30-Aug-20
Site Reliability Engineer,30-Aug-20
Director,30-Aug-20
Data Scientist,30-Aug-20
NLP Reseach Scientist,28-Aug-20
Software/Academic Project Coordinator ,28-Aug-20
Subject Matter Expert,28-Aug-20
Sr. Tools Development Engineer,28-Aug-20
Software Engineer - II,28-Aug-20
"Mgr, Sys Sw",28-Aug-20
Vice President - Campus Recruitment ,28-Aug-20
Data Scientist,27-Aug-20
Secretary,27-Aug-20
Machine Learning Intern,27-Aug-20
Beta Tester ,27-Aug-20
Accounting Intern,27-Aug-20
Software Engineer Intern,27-Aug-20
Trained,27-Aug-20
,27-Aug-20
Business Head -  Mindsoft Consulting India Leaders in Semiconductor & IT Recruitment - Since 2000,27-Aug-20
World Champion KPMG ideation challenge 2020,26-Aug-20
Software Engineer,26-Aug-20
Consultant,26-Aug-20
"Vice President, Quantitative Risk Manager",26-Aug-20
Campus Ninja,26-Aug-20
Knowledge/NLP Engineer,25-Aug-20
Campus Ambassador,25-Aug-20
Business Associate,25-Aug-20
Digital Marketing Specialist,25-Aug-20
Director - ERP Transformation,24-Aug-20
Digital Marketing Intern | INDONESIA,24-Aug-20
Finance Intern,24-Aug-20
Software Development Engineer 2,24-Aug-20
Associate Data Scientist ,23-Aug-20
"Manager, Machine Learning Engineer",23-Aug-20
Point of sale person,23-Aug-20
Senior Solution Architect  - SAP S/4HANA & SAP Customer Experience,23-Aug-20
Student Intern,23-Aug-20
,23-Aug-20
Consultant,23-Aug-20
SDE,22-Aug-20
,22-Aug-20
Marketing Manager,22-Aug-20
Business Development Manager,22-Aug-20
System Engineer,22-Aug-20
Product Manager,22-Aug-20
DevOps Engineer,20-Aug-20
Application Analyst,20-Aug-20
Social Media Manager,20-Aug-20
Sales & Strategic Partnerships Lead ,20-Aug-20
Machine Learning Engineer,19-Aug-20
,19-Aug-20
Social Media Marketing Intern,19-Aug-20
Verification Engineer,19-Aug-20
,19-Aug-20
"Data Scientist, Product",19-Aug-20
Director/Principal,19-Aug-20
Imagineer,18-Aug-20
Machine Learning Engineer,18-Aug-20
,18-Aug-20
Chief Technical Advisor,18-Aug-20
Staffing Consultant,18-Aug-20
SDE intern ,18-Aug-20
Project Engineer,17-Aug-20
Research Intern,17-Aug-20
Lead Financial Analyst,17-Aug-20
Student Tutor,17-Aug-20
Software Engineer,16-Aug-20
Learning and Development Consultant,16-Aug-20
,16-Aug-20
Senior Data Analyst,16-Aug-20
,16-Aug-20
Campus Ambassador,16-Aug-20
Data Science Intern,16-Aug-20
Senior Account Manager,16-Aug-20
,16-Aug-20
Software Engineer Intern,15-Aug-20
Senior Director,14-Aug-20
Product Intern,14-Aug-20
DSC Lead ,14-Aug-20
"Head, Google Cloud Team",14-Aug-20
Research Assistant,14-Aug-20
Chapter Lead - Delhi,14-Aug-20
Business Analyst Intern,14-Aug-20
Software Engineer Intern,14-Aug-20
,14-Aug-20
Senior Data Scientist,13-Aug-20
Operations Team,13-Aug-20
Data Scientist,13-Aug-20
,13-Aug-20
Senior HR Executive,13-Aug-20
,13-Aug-20
Data Scientist,13-Aug-20
Data Science and Analytics | GRIP Intern,13-Aug-20
Data Analyst,13-Aug-20
Associate Data Scientist,12-Aug-20
Lead P&C Analytics,12-Aug-20
Back End Developer,12-Aug-20
CEO,12-Aug-20
Data Analyst,11-Aug-20
,11-Aug-20
Machine Learning Engineer,11-Aug-20
Technical Support Professional,11-Aug-20
,11-Aug-20
Recruitment Manager,11-Aug-20
Software Automation Engineer,10-Aug-20
"Software Engineer, Deep Learning",10-Aug-20
Data Engineer,10-Aug-20
Software Engineer-2,09-Aug-20
Digital Marketing Intern,09-Aug-20
,09-Aug-20
Software Engineer,09-Aug-20
,09-Aug-20
Mathematics Tutor,09-Aug-20
Software Engineering Intern,08-Aug-20
Software Engineer,08-Aug-20
Programmer Analyst,07-Aug-20
Senior Sales Manager,07-Aug-20
ML Lead Development,07-Aug-20
Senior Consultant,07-Aug-20
,07-Aug-20
"Data Engineer, Software Engineer",07-Aug-20
Managing Director,05-Aug-20
Team member,05-Aug-20
Software Developer Intern,05-Aug-20
,04-Aug-20
Data Science Intern,04-Aug-20
Campus Ambassador,04-Aug-20
Frontend Engineer,04-Aug-20
Data Analyst Intern,04-Aug-20
CEO,03-Aug-20
,02-Aug-20
Content Writer ,02-Aug-20
Business Development Intern,02-Aug-20
"programmer analyst, associate",02-Aug-20
Senior Software Engineering Manager,02-Aug-20
,01-Aug-20
,01-Aug-20
Machine Learning Intern,01-Aug-20
System Engineer,01-Aug-20
,01-Aug-20
Senior Data Scientist,01-Aug-20
Campus Ambassador,30-Jul-20
Data Science and Analytics,30-Jul-20
Data Science & Analytics ,29-Jul-20
Data Analyst Intern,29-Jul-20
CEO,29-Jul-20
Chief Executive Officer,29-Jul-20
,29-Jul-20
Full-stack Developer,29-Jul-20
Undergraduate Researcher,29-Jul-20
Vice President,29-Jul-20
Software Development Engineer,28-Jul-20
Intern,28-Jul-20
Data Migration Engineer,27-Jul-20
Assistant Manager,27-Jul-20
Data Science Intern,27-Jul-20
Senior Consultant,27-Jul-20
AWS Machine Learning Scholar,25-Jul-20
Deep Learning Specialist,25-Jul-20
Technology Analyst,24-Jul-20
CEO,24-Jul-20
,24-Jul-20
Founder,24-Jul-20
Building Webiknowr,24-Jul-20
Traning and Placement Representative ,24-Jul-20
Assistant Professor,24-Jul-20
Vice President,24-Jul-20
Technical Team Member,23-Jul-20
,23-Jul-20
Artificial Intelligence Intern,23-Jul-20
,23-Jul-20
Senior Talent Acquisition Specialist,23-Jul-20
Team Lead- strategic partnerships at AntWak,23-Jul-20
,23-Jul-20
Team Lead,23-Jul-20
经理,23-Jul-20
,23-Jul-20
Graphic Designer,23-Jul-20
"Graduate Engineer Trainee - Software, Design Engineer",22-Jul-20
CEO and Co-Founder,21-Jul-20
Human Resources Supervisor,21-Jul-20
Data Scientist,21-Jul-20
Research Assistant,21-Jul-20
Risk Analyst,20-Jul-20
Trainee Decision Scientist,20-Jul-20
Lead Manager,20-Jul-20
Research Intern,20-Jul-20
Member Technical,20-Jul-20
Analyst Cat Models,20-Jul-20
Assistant Vice President - Nat Cat Specialist,19-Jul-20
Data Science Intern,19-Jul-20
Software Engineer II,19-Jul-20
Android Developer,19-Jul-20
Data Analytics Intern,19-Jul-20
Software Engineer,19-Jul-20
Software Dev Engineer,18-Jul-20
Software Development Engineer,18-Jul-20
Software Engineer,18-Jul-20
Associate Software Developer ,18-Jul-20
Software Engineer,18-Jul-20
Mentor,18-Jul-20
,18-Jul-20
,18-Jul-20
Head Of Sponsorship,18-Jul-20
Scholar - SAP Conversational AI,18-Jul-20
Software Engineer,18-Jul-20
Incubant,18-Jul-20
,18-Jul-20
Developer Relations Program Manager II (Cloud + AI),16-Jul-20
Talent Advisor,16-Jul-20
Student Intern,16-Jul-20
,16-Jul-20
Assistant Professor,16-Jul-20
Associate Director in Technology,15-Jul-20
,15-Jul-20
Founding Executive Director,14-Jul-20
Secretary,14-Jul-20
Data Entry Intern,14-Jul-20
Graduate Student,14-Jul-20
Machine Learning Intern,14-Jul-20
,14-Jul-20
,14-Jul-20
Human Resources Consultant,14-Jul-20
,14-Jul-20
Co-Founder,14-Jul-20
高级猎头顾问,14-Jul-20
Software Engineer,12-Jul-20
Data Engineer,12-Jul-20
Campus Coordinator,12-Jul-20
Student,12-Jul-20
,12-Jul-20
Business Analyst,12-Jul-20
Research Collaborator,12-Jul-20
ISP,12-Jul-20
Associate Consultant,12-Jul-20
Student Ambassador,12-Jul-20
Business Analyst,12-Jul-20
Artificial Intelligence Intern,12-Jul-20
Software Development Engineer,10-Jul-20
Full Stack Developer,09-Jul-20
Project Engineer,09-Jul-20
Graduate Rotational Internship Program,09-Jul-20
Associate Solution Architect,09-Jul-20
Student Partner ,09-Jul-20
,09-Jul-20
,09-Jul-20
,09-Jul-20
Web Developer,09-Jul-20
,09-Jul-20
Campus Ambassador,09-Jul-20
Marketing Specialist,08-Jul-20
"Assistant Vice President, Machine Learning / Data Scientist",08-Jul-20
Senior Software Engineer,08-Jul-20
"Journal Referees, EEEP and Energy Journal",08-Jul-20
Co-Founder,08-Jul-20
TechBee Program Training,08-Jul-20
,08-Jul-20
Founder Director,07-Jul-20
Summer Intern,07-Jul-20
Software Engineer (Business Intelligence Analyst),06-Jul-20
Internet of things developer,06-Jul-20
Software Engineer,06-Jul-20
Intern,06-Jul-20
Data Analytics Intern,06-Jul-20
Events Manager,06-Jul-20
Business Intelligence Engineer,06-Jul-20
React Native Intern,06-Jul-20
Lead Test Engineer,05-Jul-20
Web Developer,05-Jul-20
,04-Jul-20
Lecturer,04-Jul-20
Associate Specialist - Growth,04-Jul-20
Student,04-Jul-20
Enterpreneur,04-Jul-20
Cyber Security Student,04-Jul-20
Assistant System Engineer - Trainee,04-Jul-20
Campus Ambassador,03-Jul-20
Data Science Intern,03-Jul-20
,03-Jul-20
Microsoft Learn Student Ambassador,03-Jul-20
,03-Jul-20
Machine Learning Engineer,03-Jul-20
Graduate Services Assistant,03-Jul-20
"Senior VP, Head of L&H Products Services",02-Jul-20
AI Data Scientist,02-Jul-20
Operations and Analytics Internship,02-Jul-20
Business Development Intern,02-Jul-20
AWS Cloud Intern,02-Jul-20
IT Recruiter ,01-Jul-20
Software Engineering Intern,01-Jul-20
Growth and Community Associate ,01-Jul-20
Software Engineer,01-Jul-20
,01-Jul-20
Software Development Engineer,01-Jul-20
,01-Jul-20
AI/ML  Software Intern,01-Jul-20
machine learning,01-Jul-20
Junior Decision Scientist,30-Jun-20
,30-Jun-20
Marketing Intern,30-Jun-20
ETL Developer,30-Jun-20
Global ambassador ,30-Jun-20
Machine Learning Engineer,30-Jun-20
Software Development Engineer,29-Jun-20
Cyber Volunteer,29-Jun-20
Full Stack Developer,29-Jun-20
Business Analyst,29-Jun-20
Associate Developer,29-Jun-20
Technical Consultant,28-Jun-20
Cloud Support Associate (Windows),28-Jun-20
Deep Learning Intern,27-Jun-20
Product Manager,27-Jun-20
Member Technical,27-Jun-20
Maintainer @Go,26-Jun-20
,26-Jun-20
Sr. Machine Learning / Deep Learning / Data Scientist / NLP Consultant and Researcher,26-Jun-20
Senior Manager - Data Scientist,25-Jun-20
Assistant System Engineer,25-Jun-20
L&H Analytics Specialist,25-Jun-20
Content Generation Team Member,25-Jun-20
Data Engineer,25-Jun-20
,25-Jun-20
"Distinguished Engineer/Manager, Sensor Fusion",25-Jun-20
Research Scholar,24-Jun-20
Assistant Professor,24-Jun-20
,24-Jun-20
,24-Jun-20
Research Intern,24-Jun-20
Data Scientist,24-Jun-20
Django Developer,23-Jun-20
,23-Jun-20
Python Developer,23-Jun-20
Senior Software Engineer,23-Jun-20
Principal Software Engineer,23-Jun-20
Manager,23-Jun-20
Business Development Manager,23-Jun-20
Microsoft Engineering Undergraduates Intern,23-Jun-20
Business Development Associate,23-Jun-20
SDE II,23-Jun-20
Core member,22-Jun-20
,22-Jun-20
,22-Jun-20
Senior Recruitment Consultant/HR Executive,22-Jun-20
Data Scientist,22-Jun-20
Research Scientist,22-Jun-20
Microsoft Learn Student Ambassador,22-Jun-20
Digital Marketing Intern,22-Jun-20
Founder CEO,22-Jun-20
Corporate Development and Strategy Associate ,22-Jun-20
Co-Founder,22-Jun-20
Cloud Success Manager,21-Jun-20
,21-Jun-20
SDE 2,21-Jun-20
AI Engineer,20-Jun-20
,20-Jun-20
,20-Jun-20
Decision analytics associate,20-Jun-20
Associate Technical Lead - AI,19-Jun-20
Data Scientist,19-Jun-20
,19-Jun-20
,19-Jun-20
Summer Intern,19-Jun-20
Summer Research Intern,19-Jun-20
Research Engineer,18-Jun-20
Machine learning / Data science Intern,18-Jun-20
Marketing Director,18-Jun-20
Sr. Naval Architect / Inspection Engineer,18-Jun-20
Lead Consultant,18-Jun-20
,18-Jun-20
Data Scientist,17-Jun-20
Analyst,17-Jun-20
,17-Jun-20
Data Analyst Intern,17-Jun-20
Community Growth Intern,16-Jun-20
,16-Jun-20
Data Science Mentor,16-Jun-20
Moderator,16-Jun-20
Senior Software Developer,16-Jun-20
,15-Jun-20
Data Scientist,15-Jun-20
Software Engineer,15-Jun-20
Assistant Vice President - Strategic Initiatives,15-Jun-20
Account Manager,15-Jun-20
Associate Operations Intern,15-Jun-20
Software Development Engineer II,14-Jun-20
Co Founder,14-Jun-20
,14-Jun-20
Freelance Data Scientist,14-Jun-20
Co-Founder,14-Jun-20
Developer,14-Jun-20
Assistant Vice President Information Technology,14-Jun-20
Director of Engineering,13-Jun-20
Data Science Consultant,13-Jun-20
"Vice President, Team Lead Portfolio Steering",13-Jun-20
Data Scientist,13-Jun-20
Data Science Intern,13-Jun-20
Member of Board of Directors,13-Jun-20
Senior Researcher,13-Jun-20
Sales Manager,13-Jun-20
Data Scientist,13-Jun-20
Graduate Research Assistant (Ph.D.),13-Jun-20
Public Affairs Officer,13-Jun-20
Associate Team Lead,13-Jun-20
Embedded Software Engineer,13-Jun-20
Corporate Actuarial Analyst ,12-Jun-20
Technical Recruiter,12-Jun-20
Program Manager - Strategy & Operations,12-Jun-20
,11-Jun-20
Geek Student Partner ,11-Jun-20
Intern,11-Jun-20
Junior Project Officer,11-Jun-20
Data Scientist,11-Jun-20
Digital Marketing Intern,11-Jun-20
"Assistant Professor at MIT, Chair Professor at MIT MAS, Founder & Director of NCB Research Lab",10-Jun-20
DevOps Lead,09-Jun-20
Assistant Manager (Data Science),09-Jun-20
Software Engineer / Machine Learning Engineer,09-Jun-20
,09-Jun-20
Organizer and Host of Farewell Ceremony,09-Jun-20
Frontend Web Developer,09-Jun-20
Founder & CEO,09-Jun-20
Founder and CEO,09-Jun-20
Regional Sales Manager,08-Jun-20
Data Analytics - Consumer Lending,08-Jun-20
Senior Software Engineer,08-Jun-20
Computer Science Student,08-Jun-20
Talent Acquisition Consultant,08-Jun-20
Robotics Intern,08-Jun-20
Lead Engineer,08-Jun-20
Research Scientist ,08-Jun-20
Winner at MIT Hacking Racism Challenge Hackathon,08-Jun-20
Head of Product,08-Jun-20
Mechatronics Engineer - Research Assistant - Lecturer ,07-Jun-20
Branch Manager,07-Jun-20
,07-Jun-20
"MBA Candidate, Class of 2021",07-Jun-20
Sr Technical Program Manager,07-Jun-20
Sustainable interior Decorator,07-Jun-20
Looking for job in Data Science/Data analyst/machine learning,07-Jun-20
Software Associate,07-Jun-20
Scientia Professor of Artifical Intelligence,07-Jun-20
Manager EMI EMC,06-Jun-20
Head of SMB (India) - Google Cloud,06-Jun-20
"Cloud Solution Architect, The Netherlands",06-Jun-20
Corporate HR Intern,06-Jun-20
Instructional Designer for Artificial Intelligence,06-Jun-20
Software Engineer,05-Jun-20
Research Engineer - Computer Vision,05-Jun-20
Graduate Student Researcher,05-Jun-20
Assistant Manager-Talent at Deloitte India,05-Jun-20
Campus Ambassador,05-Jun-20
,05-Jun-20
Member,05-Jun-20
Machine Learning Engineer,05-Jun-20
Software developer,05-Jun-20
Head- AI powered strategic intelligence -Optumera | Algo Retail  | Strategic Growth Initiatives ,05-Jun-20
"Chief Scientist, IBM Research; IBM Fellow",04-Jun-20
Campus Ambassador,04-Jun-20
Data Analyst,04-Jun-20
Instructor,04-Jun-20
Associate Software Engineer,04-Jun-20
Campus Ambassador,03-Jun-20
Social Media Marketing,03-Jun-20
Project Lead Developer,03-Jun-20
Front End Developer,03-Jun-20
QA Testing Automation (Selenium) at Aagna global solution pvt Ltd.,03-Jun-20
,03-Jun-20
"Information Security Analyst, L2 - Global SOC",03-Jun-20
Director,03-Jun-20
Data Scientist,03-Jun-20
Data Scientist,03-Jun-20
Research Engineer,03-Jun-20
Senior Machine Learning Engineer at Netdata,02-Jun-20
Artificial Intelligence Developer,02-Jun-20
Investment Management,02-Jun-20
Data Scientist,02-Jun-20
,02-Jun-20
Flask Web Development Intern,02-Jun-20
"Manager, Vendor Management - Personal Computers",02-Jun-20
Member,02-Jun-20
Consultant,02-Jun-20
Engineer,02-Jun-20
Executive Teacher Recruitment,02-Jun-20
Research Engineer,02-Jun-20
Data Science Intern,01-Jun-20
Lead Research Engineer,01-Jun-20
Research Engineer,01-Jun-20
Technology Analyst,01-Jun-20
Senior AV Software Engineer,01-Jun-20
Linux Kernel Developer,31-May-20
Senior Software Engineer,31-May-20
,31-May-20
Image processing engineer (GET),31-May-20
Research and Development Head (CS),30-May-20
Internshala Student Partner,30-May-20
Business Technology Analyst,30-May-20
IEEE Brand Ambassador,30-May-20
Engineering Associate I,30-May-20
Founder & CEO,30-May-20
Software Engineer,29-May-20
Assistant Project Engineer,29-May-20
,29-May-20
Book Author,29-May-20
Software Development Engineer 1,29-May-20
"Data Engineer, operationalizing data science models",29-May-20
,28-May-20
Software Design Engineer In Test,28-May-20
Artificial Intelligence Engineer,28-May-20
,28-May-20
Business Analyst,28-May-20
Associate Teacher,28-May-20
Co-Founder & CEO,28-May-20
Student Mentor,27-May-20
Project Assistant,26-May-20
Co-Founder & CEO,26-May-20
Sr. Soft. Engineer,26-May-20
student member,26-May-20
Senior Consultant,26-May-20
Researcher Engineer 2,26-May-20
Principal - Data Analytics,26-May-20
Activities Coordinator,26-May-20
Software Engineer,26-May-20
Associate Business Analyst,26-May-20
Deep Learning Research Intern,26-May-20
Core Member,26-May-20
Crop Quality Analyst,26-May-20
,26-May-20
Research Intern,25-May-20
Data Scientist,25-May-20
Undergraduate Student - Mechanical Engineering ,25-May-20
Software Engineer - Machine Learning Platform,24-May-20
Founder and Author,24-May-20
JavaScript Developer,24-May-20
,24-May-20
Data Scientist,24-May-20
,24-May-20
,24-May-20
Founder (GSoC Organization),22-May-20
,22-May-20
Business Intelligence Specialist,22-May-20
Recruiter,22-May-20
Business Analyst 2,21-May-20
"Software Engineer, Engineering Productivity",21-May-20
Security Engineer,21-May-20
Research Intern,21-May-20
Data Science,21-May-20
Innovation Catalyst Intern,21-May-20
Associate: Training and Knowledge Management,20-May-20
Lead Data Scientist,20-May-20
Associate Vice President,20-May-20
Data Scientist,20-May-20
Content Writer,20-May-20
Consulting Project Manager,20-May-20
Managing Director,20-May-20
Technical Recruiter,20-May-20
ATSE - OpenShift Container Platform,20-May-20
Senior Technical Recruiter (consultant),19-May-20
"Worldwide Technical Leader, Machine Learning and Artificial Intelligence",19-May-20
,19-May-20
Artist In Residence,19-May-20
SAP Business One Consultant,19-May-20
Founder & CEO,19-May-20
Summer Intern,19-May-20
Data Scientist ,19-May-20
Full Stack Developer Intern,19-May-20
Operations Analyst,19-May-20
Public Relations and Management Intern,18-May-20
Student,18-May-20
Assistant System Engineer,18-May-20
Subject Matter Expert,18-May-20
Senior Technical Associate,18-May-20
DevOps Engineer,18-May-20
official campus ambassador,18-May-20
Jr Data Scientist,17-May-20
Spiritual ,17-May-20
,17-May-20
Data Analyst,17-May-20
Machine Learning Data Associate III,17-May-20
Student,17-May-20
Android Developer,16-May-20
Campus Lead,16-May-20
Software Engineering Internship,16-May-20
Global Guidewire Practice Head,16-May-20
Account Partner,16-May-20
Technology Lead( Cloud and Platform Architect),16-May-20
Head - Product & Digital,16-May-20
"Consultant Business F & A Trainer , Multi Domain Trainer / Facilitator/ Coach",16-May-20
